Tasks:20	Robots:6
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	4871	0.950000	1.015570	113.750792	0.033508	0.022473	685.418852	423.514078	51	50	0.757576	0.371135	0.554777	0.538835	0.500000	0.329309	0.470833	0.517895
1	6872	0.950000	1.016325	108.775930	0.036508	0.028734	801.147090	632.526308	54	51	0.909091	0.000000	0.785617	0.184009	0.670139	0.245945	0.718750	0.330128
2	4621	0.950000	1.038517	219.146913	0.080055	0.058883	1653.988194	1128.125384	63	62	0.757576	0.371135	0.621558	0.392898	0.560129	0.343907	0.504530	0.340378
3	7627	0.950000	1.029450	205.262287	0.063527	0.037238	1493.490729	881.963715	62	59	0.909091	0.000000	0.539775	0.352323	0.614633	0.253720	0.483681	0.350348
4	5152	0.950000	1.015778	206.209635	0.036895	0.031087	695.214324	568.769862	48	47	0.909091	0.000000	0.691745	0.508837	0.672751	0.276390	0.604894	0.367367
5	5120	1.000000	1.032528	1.009561	0.062309	0.034786	1163.011451	660.601468	71	71	0.909091	0.000000	0.616441	0.205174	0.760317	0.230481	0.792460	0.205670
6	4642	1.000000	1.023473	1.017291	0.044508	0.037456	1041.214962	866.782191	84	84	0.909091	0.000000	0.831939	0.121113	0.810714	0.123883	0.698214	0.256485
7	7630	0.950000	1.014970	212.024475	0.032910	0.022675	665.631902	471.491059	126	120	0.909091	0.000000	0.668064	0.180474	0.951389	0.055891	0.942708	0.064781
8	4614	0.950000	1.014060	207.698570	0.031504	0.023227	625.472687	464.397902	72	71	0.757576	0.371135	0.587293	0.309926	0.508016	0.264043	0.534683	0.275159
9	5474	0.950000	1.026858	210.423466	0.058764	0.044349	1021.173803	767.944118	49	47	0.909091	0.000000	0.658009	0.149963	0.840278	0.149523	0.831019	0.147619
10	4374	1.000000	1.013249	1.004960	0.026346	0.018140	574.676275	403.424482	76	76	0.909091	0.000000	0.656053	0.324514	0.597917	0.211899	0.387450	0.203989
11	7626	0.950000	1.020642	207.133971	0.043877	0.032462	840.994393	627.411177	80	78	0.909091	0.000000	0.771747	0.206407	0.678571	0.178200	0.663373	0.235709
12	7621	0.950000	1.032661	215.482477	0.062933	0.043309	1210.745926	804.240367	63	62	0.909091	0.000000	0.718316	0.232555	0.700265	0.248754	0.688977	0.180741
13	5605	1.000000	1.018143	1.011748	0.042701	0.033941	743.431950	599.202502	53	53	0.909091	0.000000	0.801322	0.141664	0.725970	0.216315	0.712081	0.229574
14	4716	0.950000	1.026000	206.402375	0.051850	0.041742	904.023598	726.689644	46	45	0.909091	0.000000	0.677635	0.172590	0.624074	0.199433	0.626389	0.225488
15	7223	0.900000	1.029437	547.166207	0.061719	0.038235	1079.051952	687.929823	69	61	0.757576	0.371135	0.519169	0.312097	0.539484	0.326375	1.637688	3.124140
16	5006	0.950000	1.014366	105.400759	0.035614	0.028062	660.033675	484.147633	94	90	0.909091	0.000000	0.767873	0.332726	0.703704	0.285075	0.762963	0.286435
17	7625	1.000000	1.013313	1.005541	0.029021	0.021092	628.492567	446.394660	95	95	0.757576	0.371135	0.604246	0.355797	0.591634	0.329657	0.555661	0.323484
18	5007	0.950000	1.011654	207.184644	0.033120	0.029413	606.808843	520.924531	79	70	0.909091	0.000000	0.685602	0.362066	0.639286	0.205611	0.550364	0.370685
19	7624	1.000000	1.040807	1.014647	0.077389	0.043971	1716.517233	988.306362	55	55	0.909091	0.000000	0.727867	0.281974	0.821098	0.210887	0.813492	0.188932
20	4784	1.000000	1.013081	1.003453	0.031332	0.020271	683.595421	443.816400	100	100	0.909091	0.000000	0.672188	0.178838	0.844444	0.148512	0.797354	0.158087
21	4689	1.000000	1.023793	1.008888	0.044491	0.027304	912.699250	536.160442	70	70	0.909091	0.000000	0.697466	0.243895	0.812500	0.156325	0.710648	0.155262
22	7624	0.950000	1.022144	119.337139	0.048798	0.027797	1011.752582	594.455369	49	48	0.909091	0.000000	0.708937	0.405199	0.619841	0.227401	0.557407	0.253120
23	4406	1.000000	1.029974	1.015725	0.066091	0.050847	1059.726553	828.387216	121	121	0.606061	0.469453	0.526136	0.442289	0.576984	0.453061	0.567372	0.447059
24	7657	0.900000	1.017257	320.970196	0.032265	0.019596	679.657367	406.826367	89	74	0.909091	0.000000	0.636499	0.327108	0.774405	0.200995	0.630238	0.378796
25	7636	0.950000	1.019588	111.539720	0.041049	0.025380	779.267123	485.924933	61	57	0.909091	0.000000	0.728741	0.360993	0.664815	0.183843	0.700833	0.243547
26	7521	0.950000	1.020847	219.200523	0.041139	0.028318	718.586812	504.683975	101	97	0.909091	0.000000	0.693617	0.178442	0.693750	0.186832	0.715625	0.157210
27	4504	1.000000	1.039319	1.008723	0.081407	0.045121	1480.946851	884.667434	114	114	0.757576	0.371135	0.636523	0.383296	0.546528	0.296863	0.556944	0.309111
28	5878	1.000000	1.027359	1.012770	0.058836	0.044062	1121.688719	833.465293	35	35	0.909091	0.000000	0.708141	0.186639	0.923611	0.150039	0.902778	0.152904
29	5035	0.950000	1.026823	209.140972	0.063676	0.043574	1333.953892	881.825659	87	83	0.757576	0.371135	0.612517	0.389146	0.455423	0.257468	0.443287	0.222369
30	6581	0.950000	1.014213	114.547255	0.046481	0.026143	942.580856	548.841099	81	78	0.909091	0.000000	0.581164	0.346908	0.777480	0.189446	0.753704	0.382933
31	4590	0.950000	1.022568	204.874652	0.044614	0.033574	782.583938	603.576027	71	63	0.909091	0.000000	0.755337	0.190938	0.663889	0.230775	0.620337	0.299186
32	6008	0.950000	1.031506	207.073399	0.072033	0.061912	1282.525860	1101.868577	40	38	0.909091	0.000000	0.777525	0.213796	0.752778	0.267170	0.737963	0.271039
33	4492	0.950000	1.013858	111.016679	0.030401	0.023114	662.128298	506.588066	64	56	0.909091	0.000000	0.759570	0.249619	0.633333	0.260128	0.759722	0.610565
34	7640	0.950000	1.012405	207.466984	0.024916	0.017507	528.200086	378.700947	75	73	0.909091	0.000000	0.709305	0.264473	0.731978	0.294147	0.713360	0.252125
35	4807	0.950000	1.017043	205.111396	0.043643	0.034365	825.478226	659.966301	65	60	0.909091	0.000000	0.670058	0.168873	0.664506	0.239193	0.623810	0.257160
36	7648	0.900000	1.018709	676.832110	0.043728	0.025881	796.559638	491.822246	109	94	0.909091	0.000000	0.563214	0.368445	0.864385	0.087161	0.671032	0.349649
37	7619	1.000000	1.037033	1.015211	0.075626	0.054249	1267.639340	889.545992	87	87	0.757576	0.371135	0.573372	0.364410	0.666270	0.347783	0.647902	0.339695
38	4587	0.950000	1.013526	208.815461	0.028490	0.021363	519.223438	395.083240	91	88	0.909091	0.000000	0.753489	0.182564	0.825893	0.197218	0.799107	0.185899
39	4711	1.000000	1.022473	1.006777	0.046689	0.028687	832.757767	518.309706	93	93	0.909091	0.000000	0.517773	0.313990	0.831250	0.119457	0.627932	0.321247
40	7639	0.950000	1.015882	118.930240	0.036977	0.025052	743.467608	465.341963	50	48	0.909091	0.000000	0.779915	0.297382	0.675529	0.185579	0.720899	0.143032
41	4703	0.950000	1.015943	124.156865	0.031483	0.021320	642.234309	439.195971	50	46	0.909091	0.000000	0.879193	0.539912	0.697778	0.255836	0.737500	0.300728
42	7109	0.900000	1.014677	322.111481	0.031820	0.024950	556.668939	426.414846	54	50	0.909091	0.000000	0.833629	0.260397	0.831944	0.185623	0.806250	0.264756
43	6276	0.950000	1.010987	210.313510	0.023981	0.018893	532.400013	417.020304	75	73	0.909091	0.000000	0.751969	0.207950	0.730159	0.217002	0.715675	0.230523
44	4635	0.900000	1.016237	468.510556	0.035045	0.023741	727.651929	478.556258	94	83	0.909091	0.000000	0.551037	0.346170	0.696032	0.215802	0.650529	0.357178
45	7634	0.950000	1.018552	122.215501	0.035931	0.021803	738.829656	458.808198	32	31	0.909091	0.000000	0.728627	0.242035	0.677778	0.197672	0.625000	0.245798
46	7625	0.950000	1.029455	131.273970	0.064755	0.042195	1396.769719	838.035324	56	55	0.909091	0.000000	0.741279	0.338992	0.668519	0.309154	0.623611	0.339215
47	7658	0.900000	1.017739	258.522143	0.035978	0.024926	692.560885	488.352505	86	79	0.909091	0.000000	0.721371	0.189312	0.746032	0.199720	0.806746	0.384789
48	7645	0.950000	1.021395	209.849522	0.046440	0.029994	1003.939438	662.790254	106	102	0.909091	0.000000	0.706037	0.164663	0.834907	0.143501	0.859352	0.130124
49	7642	0.950000	1.016976	121.853334	0.032442	0.021530	669.924701	454.426897	66	64	0.909091	0.000000	0.691601	0.284723	0.740741	0.173620	0.780093	0.464347
50	4610	1.000000	1.029756	1.012311	0.064034	0.045241	1367.716336	999.435870	75	75	0.909091	0.000000	0.796175	0.166892	0.786905	0.173803	0.772500	0.200094
51	4381	0.900000	1.019471	288.430646	0.041392	0.032921	730.488637	580.409319	96	92	0.909091	0.000000	0.665415	0.371172	0.699259	0.264777	0.999577	1.153503
52	4413	1.000000	1.012182	1.003545	0.026655	0.016110	509.126706	308.891875	63	63	0.757576	0.371135	0.527179	0.349721	0.649074	0.382009	0.609722	0.402092
53	7637	0.950000	1.023058	109.249863	0.047059	0.027016	821.489040	461.777094	51	48	0.757576	0.371135	0.661066	0.541616	0.656746	0.383948	0.611111	0.451608
54	7467	0.900000	1.017245	271.987320	0.036865	0.029017	780.801846	632.344279	72	64	0.909091	0.000000	0.737988	0.254955	0.749206	0.221873	0.787224	0.410135
55	7628	0.950000	1.029776	226.259982	0.062941	0.053542	1175.605168	902.892412	55	54	0.909091	0.000000	0.770523	0.353466	0.617989	0.264995	0.607407	0.336061
56	7632	0.950000	1.019459	135.177357	0.044654	0.017908	785.410853	366.192342	58	57	0.909091	0.000000	0.591896	0.472519	0.635251	0.211581	0.673438	0.895308
57	7276	0.950000	1.021067	205.551355	0.052832	0.040579	1167.868511	912.855982	57	54	0.606061	0.469453	0.461044	0.393975	0.384722	0.372321	0.370238	0.371174
58	7636	0.950000	1.015813	120.829715	0.030788	0.019154	589.780798	353.610743	69	65	0.909091	0.000000	0.493995	0.390921	0.786839	0.175992	0.526984	0.457447
59	7154	0.950000	1.012236	205.375831	0.027933	0.021240	607.832897	457.480285	60	59	0.909091	0.000000	0.673693	0.168396	0.556366	0.261052	0.581944	0.226103
60	5389	0.950000	1.018979	209.132954	0.043491	0.030654	753.561804	531.900591	87	84	0.757576	0.371135	0.541453	0.287178	0.672917	0.368308	0.658135	0.369899
61	4828	0.950000	1.018768	205.490768	0.039412	0.029437	714.043900	540.100424	58	55	0.757576	0.371135	0.595682	0.325224	0.518915	0.342460	0.525000	0.337268
62	6928	0.900000	1.012173	308.776838	0.027900	0.020265	646.758358	419.200553	59	56	0.909091	0.000000	0.703610	0.356557	0.734259	0.156571	0.937500	0.572822
63	7635	0.950000	1.018875	119.907216	0.042509	0.027527	800.977228	534.885603	72	67	0.909091	0.000000	0.708936	0.315427	0.771825	0.210606	0.760946	0.303245
